model,brand,price,rating,ratings_count,reviews_count,ram,rom,battery,display_inch,rear_camera,front_camera,processor
"Samsung Galaxy F70e 5G (Spotlight Blue, 128 GB)",Samsung,14499.0,4.2,544.0,51.0,6,128,6000,6.74,50MP + 2MP,8MP,Dimensity 6300 Processor
"IQOO Z10X 5G (Ultramarine, 128 GB)",IQOO,17962.0,4.4,946.0,267.0,8,128,6500,6.7,50MP,0,0
"MOTOROLA g06 power (Pantone Tendril, 64 GB)",MOTOROLA,8999.0,4.3,774.0,682.0,4,64,7000,6.88,50MP,8MP,Helio G81 Processor
"Ai+ Pulse 1 (Green, 128 GB)",Ai+,8499.0,4.1,426.0,471.0,6,128,5000,6.745,50MP,5MP,T615 Processor
"vivo T5x 5G (Cyber Green, 256 GB)",vivo,22999.0,4.6,365.0,85.0,8,256,7200,6.76,50MP + 2MP,32MP,Dimensity 7400-Turbo Processor
"MOTOROLA g35 5G (Midnight Black, 128 GB)",MOTOROLA,11999.0,4.2,671.0,860.0,4,128,5000,6.72,50MP + 8MP,16MP,T760 Processor
"MOTOROLA g57 power 5G (Pantone Corsair, 128 GB)",MOTOROLA,14999.0,4.4,574.0,671.0,8,128,7000,6.72,50MP + 8MP,8MP,6s Gen 4 Processor
"REDMI A5 (Jaisalmer Gold, 128 GB)",REDMI,8999.0,4.2,349.0,253.0,4,128,5200,6.88,32MP,8MP,T7250 Processor
"Ai+ Pulse 1 (Pink, 128 GB)",Ai+,8499.0,4.1,426.0,471.0,6,128,5000,6.745,50MP,5MP,T615 Processor
"realme Narzo 80 Lite 4G (Beach Gold, 128 GB)",realme,10639.0,4.3,198.0,103.0,6,128,6300,6.74,32MP,0,0
"POCO C85x (Elite Black, 64 GB)",POCO,10999.0,4.5,151.0,11.0,4,64,6300,6.9,32MP,0,T8300 Processor
"POCO C71 (Cool Blue, 128 GB)",POCO,9799.0,4.1,255.0,685.0,6,128,5200,6.88,32MP,8MP,"Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor"
"MOTOROLA g06 power (Pantone Laurel Oak, 64 GB)",MOTOROLA,8999.0,4.3,774.0,682.0,4,64,7000,6.88,50MP,8MP,Helio G81 Processor
Jmax 07,Jmax,777.0,4,40.0,1.0,32,32,800,1.2,0,0,0
"MOTOROLA g35 5G (Leaf Green, 128 GB)",MOTOROLA,12999.0,4.2,350.0,602.0,8,128,5000,6.72,50MP + 8MP,16MP,T760 Processor
"POCO C75 5G (Aqua Bliss, 64 GB)",POCO,10999.0,4.2,204.0,932.0,4,64,5160,6.88,50MP,5MP,4s Gen 2 5G Processor
HOTLINE HC56,HOTLINE,480.0,3.7,206.0,98.0,32,32,3000,1.8,1MP,0,0
"Samsung Galaxy F07 (Green, 64 GB)",Samsung,8399.0,4.3,15.0,279.0,4,64,5000,6.7,50MP + 2MP,8MP,Helio G99 Processor
"MOTOROLA Edge 70 Fusion (Pantone COUNTRY AIR, 128 GB)",MOTOROLA,26999.0,4.4,100.0,211.0,8,128,7000,6.8,50MP + 13MP,32MP,Snapdragon 7s Gen 4 Processor
"POCO M7 Pro 5G (Lunar Dust, 128 GB)",POCO,13999.0,4.3,36.0,836.0,6,128,5110,6.67,50MP + 2MP,20MP,Dimensity 7025 Ultra Processor
"MOTOROLA g67 power 5G (Pantone Parachute, 128 GB)",MOTOROLA,16999.0,4.4,928.0,649.0,8,128,7000,6.7,50MP + 8MP,32MP,7s Gen 2 Processor
"Samsung M06 5G (Blazing Black, 128 GB)",Samsung,11499.0,4.1,284.0,73.0,4,128,5000,6.7,50MP,0,0
"Ai+ Nova 5G (Sparkle Red, 128 GB)",Ai+,10999.0,3.9,39.0,490.0,8,128,5000,6.745,50MP,5MP,T8200 Processor
LAVA A1 Josh,LAVA,1003.0,4.2,22.0,143.0,4,2,1000,2.0,0MP,0MP,Mtk Processor
"vivo T5x 5G (Star Silver, 256 GB)",vivo,22999.0,4.6,365.0,85.0,8,256,7200,6.76,50MP + 2MP,32MP,Dimensity 7400-Turbo Processor
"Samsung M06 5G (Sage Green, 128 GB)",Samsung,11236.0,4.1,284.0,73.0,4,128,5000,6.7,50MP,0,0
"POCO M7 Plus 5G (Chrome Silver, 128 GB)",POCO,13999.0,4.1,312.0,168.0,4,128,7000,6.9,50MP,0,Snapdragon 6s Gen 3 5G Processor
"Nokia 106 Single Sim Keypad Phone with Built-in UPI App, MP3 Player",Nokia,1249.0,3.8,243.0,435.0,32,32,1000,6.7,0,0,SC6531E Processor
